animeTitle	Kumo no Ito
animeType	Movie
animeNumEpisode	1
releaseDate	1946-01-01 00:00:00
endDate	
animeNumMembers	929
animeScore	5.48
animeUsers	344
animeRank	10436
animePopularity	11356
animeDescription	An adaptation of the classic tale of the spider silk, where a man sentenced in Hell tries to escape by climbing a string of spider silk hanging from above.
animeRelated	['Aoi Bungaku Series', 'Kumo no Ito (2000)', 'Kumo no Ito (1979)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
