animeTitle	Nisekoi OVA
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.39
animeUsers	80659
animeRank	
animePopularity	1211
animeDescription	Episodes released on DVDs bundled with the 14th, 16th, and 17th volumes of the Nisekoi manga.
animeRelated	['Nisekoi', 'Magical Pâtissière Kosaki-chan!!', 'Nisekoi:', 'Nisekoi: OVA']
animeCharacters	['Kirisaki, Chitoge', 'Onodera, Kosaki', 'Ichijou, Raku', 'Tsugumi, Seishirou', 'Tachibana, Marika', 'Maiko, Shuu', 'Onodera, Haru', 'Miyamoto, Ruri', 'Sasaki, Ryuunosuke', 'McCoy, Paula']
animeVoices	['Touyama, Nao', 'Hanazawa, Kana', 'Uchiyama, Kouki', 'Komatsu, Mikako', 'Asumi, Kana', 'Kaji, Yuki', 'Sakura, Ayane', 'Uchiyama, Yumi', 'Hiyama, Nobuyuki', 'Numakura, Manami']
animeStaff	[['Shinbou, Akiyuki', 'Director'], ['Tatsuwa, Naoyuki', 'Director, Episode Director, Storyboard'], ['Kameyama, Toshiki', 'Sound Director'], ['Numata, Seiya', 'Episode Director']]
