animeTitle	Kappa Kawatarou
animeType	Movie
animeNumEpisode	1
releaseDate	1954-04-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.62
animeUsers	118
animeRank	
animePopularity	13988
animeDescription	A kappa village is devastated by a large storm during festival preparations. With no fish in the river, the village is weakened. Kawatarou and his girlfriend head the mountains to find anything to bring back.
animeRelated	[]
animeCharacters	"['Kawatarou', ""Kawatarou's Girlfriend""]"
animeVoices	[]
animeStaff	[]
