animeTitle	b'Mudazumo Naki Kaikaku: The Legend of Koizumi'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.92
animeUsers	5759
animeRank	
animePopularity	
animeDescription	b'Global political figures such as The Pope, Kim Jong Il, George W. Bush and recent Japanese Prime Ministers play riichi mahjong against each other.'
animeRelated	[b'Mudazumonaki Kaikaku']
animeCharacters	[b'Koizumi, Junichirou', b'Satou, Yukari', b'Sugimura, Taizo', b'Putin, Vladimir', b'Bush Jr., George', b'Kim, Jong-il', b'Tymoshenko, Yulia', b'Mao, Zedong', b'Aso, Taro', b'Bush Sr., George']
animeVoices	[b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nNakata, Jouji\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nCho\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nUtsumi, Kenji\nJapanese\n', b'\nArimoto, Kinryuu\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawase, Kouhei\n\nProducer\n\n', b'\nMizushima, Tsutomu\n\nDirector, Episode Director, Script, Storyboard\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nTakagi, Ryuuji\n\nTheme Song Composition, Theme Song Arrangement, Music\n\n']
