animeTitle	Nekojiru-sou
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.32
animeUsers	32037
animeRank	
animePopularity	2138
animeDescription	"The main character, a cat named Nyatto, embarks upon a journey to save his sister's soul, which was ripped in two when Nyatto tried to save her from Death. She trails after him, brain-dead. They encounter many brilliant, mind-bending situations, beginning with a disturbing magic show.

(Source: ANN)"
animeRelated	['Nekojiru Udon', 'Nekojiru Gekijou Jirujiru Original']
animeCharacters	['Nyako', 'Nyatta', 'Pig', 'Water Elephant']
animeVoices	[]
animeStaff	[['Satou, Tatsuo', 'Director'], ['Yuasa, Masaaki', 'Episode Director, Script, Storyboard, Animation Director'], ['Yoshinari, You', 'Key Animation'], ['Nekojiru', 'Original Creator']]
