animeTitle	Shakuen no Eris
animeType	OVA
animeNumEpisode	4
releaseDate	2019-06-28 00:00:00
endDate	2020-02-28 00:00:00
animeNumMembers	
animeScore	6.26
animeUsers	950
animeRank	
animePopularity	8359
animeDescription	The main character of hentai – a girl named Ellis Violet. She one of the most strong girls warriors, the storm demons and monsters. This is the story of her fall and becoming a sex slave…
animeRelated	['Shakuen no Ellis: Watashi, Yuusha Yamete Mesubuta ni Narimasu!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
