animeTitle	Agitated Screams of Maggots
animeType	Music
animeNumEpisode	1
releaseDate	2006-11-01 00:00:00
endDate	
animeNumMembers	
animeScore	4.18
animeUsers	3776
animeRank	
animePopularity	6499
animeDescription	"""Agitated Screams of Maggots"" was directed by Keita Kurosaka and released in 2006 with the single, ""Agitated Screams of Maggots"", made by Japanese rock band, DIR EN GREY. ASOM has a traditional drawing design with erotic and grotesque aspects. The video had also received some attention from it's art style and was shown at the International Film Festival Rotterdam in 2007."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
