animeTitle	b'Handsome Girl'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.73
animeUsers	1430
animeRank	
animePopularity	
animeDescription	"b'Hagiwara Mio is a 14-year-old TV actress who has gotten popular. One day on a set, she meets Kumagai Ichiya, who tells her that her acting ""stinks."" Mio is hurt by his comments, but she finds that she can\'t get Ichiya out of her mind. It turns out that Ichiya is a promising director, who directed a music video for Mio\'s friend Sawaki Aya, an idol singer. After the success of this music video, Ichiya is asked to direct a movie, and he wants Mio to be the heroine, because he feels that she is a ""handsome"" girl like the actresses of old. How will Mio cope with her feelings toward Ichiya?\n\n(Source: T.H.E.M. Anime Review, edited)'"
animeRelated	[b'Handsome na Kanojo']
animeCharacters	[b'Hagiwara, Mio', b'Kumagai,  Ichiya', b'Yasushi', b'Miura, Kuniyoshi', b'Daisuke', b'Kani, Osamu', b'Shuuji', b'Okita', b'Kimura, Ayako']
animeVoices	[b'\nTamagawa, Sakiko\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n', b'\nMatsumoto, Yasunori\nJapanese\n', b'\nOmoro, Masayuki\nJapanese\n', b'\nToriumi, Katsumi\nJapanese\n', b'\nHorikawa, Ryo\nJapanese\n', b'\nHorimoto, Hitoshi\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n', b'\nKasahara, Hiroko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOoga, Shunji\n\nDirector\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nMano, Akira\n\nEpisode Director\n\n', b'\nYoshizumi, Wataru\n\nOriginal Creator\n\n']
