animeTitle	b'Arata Kangatari'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	29146
animeRank	
animePopularity	
animeDescription	"b'As a young boy from a noble family in Amawakuni, Arata has always expected to make life his own\xe2\x80\x94until word of the princess growing weak reaches his city. Unbeknown to him, his grandmother had claimed him to be female at birth, and now, with no other girls to succeed the princess from the matriarchal Hime clan, he is next in line for the throne! Disguised as a woman awaiting a replacement to be found, Arata witnesses an assassination attempt on the princess by none other than her own guard, the 12 Shinsho. The crime is pinned on his head, forcing Arata to escape to the Kando forest, where it is said that no one comes out the same.\n\nMeanwhile, in modern-day Japan, Arata Hinohara longs for escape from the cruelty of his classmates. Hearing his name called from an alley, he wanders from his path and unwittingly switches universes with Arata from Amawakuni. With his own power as a newly awakened ""Sho""\xe2\x80\x94a warrior able to wield Hayagami, weapons with the power of the gods\xe2\x80\x94and the help of his companions he meets along his journey, Hinohara sets out to restore order to this new world.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Arata Kangatari', b'Arata Kangatari Picture Drama']
animeCharacters	[b'Hinohara, Arata', b'Kannagi', b'Kotoha', b'Arata', b'Kanate', b'Kadowaki, Masato', b'Kugura', b'Akachi', b'Nishijima, Suguru', b'Yataka']
animeVoices	[b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nOno, Yuuki\nJapanese\n', b'\nTakagaki, Ayahi\nJapanese\n', b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nMinagawa, Junko\nJapanese\n', b'\nKimura, Ryouhei\nJapanese\n', b'\nInoue, Gou\nJapanese\n', b'\nSuzuki, Tatsuhisa\nJapanese\n', b'\nYamashita, Daiki\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYasuda, Kenji\n\nDirector\n\n', b'\nRe: OLDCODEX\n\nTheme Song Performance\n\n', b'\nSphere\n\nTheme Song Performance\n\n', b'\nKodama, Saori\n\nTheme Song Lyrics\n\n']
