animeTitle	Kokuhaku
animeType	ONA
animeNumEpisode	1
releaseDate	2015-08-27 00:00:00
endDate	
animeNumMembers	
animeScore	2.28
animeUsers	3747
animeRank	
animePopularity	6930
animeDescription	"Beside a certain building, a girl appears to meet an important person. She is shy and carefully prepares herself before delivering what she has come to convey. Reaching behind her back, she lets her feelings come forth... But is it a confession of love, or something else entirely?

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Girl']
animeVoices	[]
animeStaff	[['Takena, Nagao', 'Director']]
