animeTitle	Ganbare Goemon
animeType	TV
animeNumEpisode	23
releaseDate	1997-10-04 00:00:00
endDate	1998-03-28 00:00:00
animeNumMembers	1283
animeScore	6.05
animeUsers	298
animeRank	8444
animePopularity	10514
animeDescription	The evil overlord Makuamuge is planning to take over both the game and real worlds, and it is up to the ninja Goemon, his friends, girlfriend, and giant robot to defeat Makuamuge's henchmen and save both worlds.
animeRelated	['Ganbare Goemon: Jigen Jou no Akumu', 'Ganbare Goemon: Chikyuu Kyuushutsu Daisakusen']
animeCharacters	['Goemon', 'Sasuke', 'Ebisumaru', 'Yae']
animeVoices	['Matsumoto, Yasunori', 'Hori, Junko', 'Ogata, Kenichi', 'Hisakawa, Aya']
animeStaff	[['Yatabe, Katsuyoshi', 'Director'], ['Kasai, Kenichi', 'Episode Director, Storyboard'], ['Minami, Yasuhiro', 'Episode Director, Storyboard'], ['Hirano, Yasushi', 'Script']]
