animeTitle	b'Nogsaegjeoncha Hamos'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	222
animeRank	
animePopularity	
animeDescription	"b""The Planet Terra, once called a morning star in galactic system, was so beautiful. However, Terra is now under crisis that it may disappear with big explosion in universe due to the pollution and warfare. Dr. Chaco is the only one who knows the key of saving the planet Terra. The only way to save Terra is to make rainbow system work with seven mysterious crystals. To find 7 crystals, Dr. Chaco holds a race to achieve his plot to build his own universal dynasty with the power of the crystals. Riding Hamos Rick joins the race not knowing Dr. Chaco''s plot. Rick comes to know the secret of the crystals on the way of the race, tries to revive the planet Terra. This causes a war between Dr. Chaco and Rick to get the 7 crystals and rainbow system.\n\n(Source: tvkanald.rs)"""
animeRelated	[]
animeCharacters	[b'Rick', b'Nero', b'Hunter, Merry', b'Gutpo', b'Bora', b'Roto']
animeVoices	[b'\nMidorikawa, Hikaru\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n', b'\nHyoudou, Mako\nJapanese\n', b'\nSonobe, Keiichi\nJapanese\n', b'\nToyoguchi, Megumi\nJapanese\n', b'\nKanai, Mika\nJapanese\n']
animeStaff	[]
