animeTitle	Hello Kagerou
animeType	Music
animeNumEpisode	1
releaseDate	2018-02-07 00:00:00
endDate	
animeNumMembers	283
animeScore	5.66
animeUsers	143
animeRank	9877
animePopularity	14793
animeDescription	Official music video for GReeeeN's 31st single Hello Kagerou released on February 7, 2018. A shortened version of the music video was posted on GReeeeN's official YouTube channel on January 11, 2018 to promote the full release as well as several campaigns as the song itself is the official relay theme song for Fuji TV's broadcast of the 2018 Pyeongchang Olympics.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
