animeTitle	Inazma Delivery
animeType	TV
animeNumEpisode	10
releaseDate	2016-12-09 00:00:00
endDate	2017-02-10 00:00:00
animeNumMembers	
animeScore	6.33
animeUsers	240
animeRank	
animePopularity	11603
animeDescription	"Inazma Delivery is set in the town of Babiden City, where everything runs on electricity. Hemingway is an earnest young man who works at the delivery company Inazma, which promises to deliver any package to its proper destination. One day, an extraterrestrial lost child in a shark costume named Bytheway appears and asks to be delivered to its home planet, and soon Hemingway and Bytheway are embroiled in all sorts of adventures.

(Source: Crunchyroll)"
animeRelated	['Inazma Delivery: Dougyousha Attack-hen', 'Bytheway Dance']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
