animeTitle	Shin Dokonjou Gaeru
animeType	TV
animeNumEpisode	30
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13804
animeDescription	Continuation of Dokonjougaeru series.
animeRelated	['Dokonjougaeru', 'Dokonjou Gaeru', 'Shin Dokonjou Gaeru: Dokonjou Yumemakura']
animeCharacters	['Hiroshi', 'Pyonkichi', 'Sagawa, Umesaburou', 'Minami-sensei', 'Machida-sensei']
animeVoices	['Nozawa, Masako', 'Chijimatsu, Sachiko', 'Harada, Kazuo', 'Tanaka, Hideyuki', 'Nagai, Ichiro']
animeStaff	[['Konparu, Tomoko', 'Script'], ['Takayashiki, Hideo', 'Script'], ['Sakurai, Masaaki', 'Script'], ['Kaneko, Yutaka', 'Script']]
