animeTitle	Burning Blood
animeType	OVA
animeNumEpisode	3
releaseDate	1990-04-25 00:00:00
endDate	1991-04-25 00:00:00
animeNumMembers	
animeScore	6.06
animeUsers	149
animeRank	
animePopularity	11247
animeDescription	"One night after leaving a club where he was playing trumpet, Ryou Takagi is jumped by a motorcycle gang. The scuffle spills out into the streets and causes a traffic accident. Because of this, Ryou is arrested and forced to do time. Upon his release, he has developed into a skilled boxer but trouble continues to find him.

(Source: Wikipedia)"
animeRelated	['B.B']
animeCharacters	['Takagi, Ryou', 'Otobe, Makoto', 'Katou, Minoru', 'Suu-chan', 'Takagi, Gentarou', 'Wakabayashi, Kouichi', 'Moriyama, Jin', 'Kitsunebi no Atama', 'Matsubara, Koyuki ']
animeVoices	['Inoue, Kazuhiko', 'Genda, Tesshou', 'Seki, Toshihiko', 'Mizutani, Yuuko', 'Ikeda, Masaru', 'Hori, Hideyuki', 'Hayami, Show', 'Ootsuka, Akio', 'Hidaka, Noriko']
animeStaff	[['Dezaki, Osamu', 'Director, Storyboard'], ['Hanyuu, Naoyasu', 'Episode Director'], ['Mizutani, Takaya', 'Episode Director'], ['Yuuki, Risa', 'Theme Song Performance']]
