animeTitle	Metroid Short Animation
animeType	ONA
animeNumEpisode	1
releaseDate	2016-06-06 00:00:00
endDate	
animeNumMembers	506
animeScore	5.92
animeUsers	251
animeRank	8982
animePopularity	12969
animeDescription	A fan-made animation of the Metroid franchise by the professional animator Rabbit MACHINE.
animeRelated	[]
animeCharacters	['Aran, Samus']
animeVoices	[]
animeStaff	[['Rabbit MACHINE', 'Director'], ['purikoko', 'Music']]
