animeTitle	b'Greed'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.88
animeUsers	329
animeRank	
animePopularity	
animeDescription	"b""To succeed to his father, Lid Kail sets out a journey to defeat the incarnation of the evil that seems to dominate the world. Longn and Mimau also began to journey to achieve his father\xe2\x80\x99s will. On their way, Key and Bagda join them. They overcome some difficulties, and finally they met Vaii, the evil. They managed to beat Vaii, but it still doesn't solve their problem...\n\n(Source: Animenfo) """
animeRelated	[]
animeCharacters	"[b'Lid, Kyle', b'Mii, Key', b'Gai', b'Vailly', b'Karlten, Mimau', b""L'arp Lip"", b'Baguda', b'Rongun']"
animeVoices	[b'\nHoriuchi, Kenyuu\nJapanese\n', b'\nMinaguchi, Yuko\nJapanese\n', b'\nFutamata, Issei\nJapanese\n', b'\nOotake, Hiroshi\nJapanese\n', b'\nSakakibara, Yoshiko\nJapanese\n', b'\nTamagawa, Sakiko\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamakawa, Norio\n\nProducer, Planning\n\n', b'\nKogawa, Tomonori\n\nDirector, Script, Storyboard, Animation Director, Character Design, Creator\n\n', b'\nKitazume, Hiroyuki\n\nAnimation Director\n\n', b'\nKubooka, Toshiyuki\n\nKey Animation\n\n']
