animeTitle	Digimon Tamers: Bousou Digimon Tokkyuu
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	11675
animeRank	
animePopularity	3768
animeDescription	"Locomon, a train digimon, has suddenly appeared in the real world. All the tamers scramble to stop the train before it reaches its final destination: the portal into the Digital world.

(Source: ANN)"
animeRelated	['Digimon Tamers']
animeCharacters	['Makino, Ruki', 'Impmon', 'Renamon', 'Terriermon', 'Guilmon', 'Matsuda, Takato', 'Li, Jianliang', 'Culumon', 'Katou, Juri', 'Li, Xiaochun']
animeVoices	['Orikasa, Fumiko', 'Takahashi, Hiroki', 'Imai, Yuka', 'Tada, Aoi', 'Nozawa, Masako', 'Tsumura, Makoto', 'Yamaguchi, Mayumi', 'Kaneda, Tomoko', 'Asada, Yoko']
animeStaff	[['Nakamura, Tetsuharu', 'Director'], ['Fahn, Melissa', 'Theme Song Performance'], ['Izumikawa, Sora', 'Theme Song Composition, Theme Song Lyrics'], ['McGlynn, Mary Elizabeth', 'ADR Director']]
