animeTitle	b'Hulaing Babies Petit'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Hulaing Babies', b'Hulaing Babies Aratame: Staying Babies']
animeCharacters	[b'Miku', b'Nagisa', b'Mona', b'Moe', b'Shiina', b'Suzu', b'Fumi', b'Natsu', b'Momo', b'Emi']
animeVoices	[b'\nItou, Miku\nJapanese\n', b'\nBridcutt, Sarah Emi\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nToyota, Moe\nJapanese\n', b'\nYamaguchi, Rikako\nJapanese\n', b'\nYoshimura, Haruka\nJapanese\n', b'\nSasaki, Mikoi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAsao, Yoshinori\n\nDirector\n\n']
