animeTitle	Gyouten Ningen Batsealer
animeType	TV
animeNumEpisode	52
releaseDate	2001-04-07 00:00:00
endDate	2002-03-30 00:00:00
animeNumMembers	483
animeScore	6.47
animeUsers	118
animeRank	6308
animePopularity	13038
animeDescription	With the ability to transcend time, Captain Fatz and comrades embarked on a journey of battle and adventure to gather the eight scattered stone pieces (namely Light, Darkness, Fire, Water, Air, Earth, Wood & Metal) which was granulated by the lord of destruction, in order to restore the chaotic world back to peace.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
