animeTitle	Tatamp
animeType	Movie
animeNumEpisode	1
releaseDate	2011-01-01 00:00:00
endDate	
animeNumMembers	540
animeScore	5.41
animeUsers	259
animeRank	10628
animePopularity	12768
animeDescription	"Mirai Mizue continues his experimentation with music and movement in his latest ""cell animation,"" Tatamp. Not to be confused with the animation technique of ""cel animation,"" Mizue’s unique style of ""cell animation"" is hand-drawn and colored on paper then scanned onto the computer for editing. The name refers to the fact that the creatures that he draws resemble amoeba and other minute organic creatures one might find under the lens of a microscope.

(Source: Nishikataeiga Reviews)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
