animeTitle	b'iDOLM@STER Xenoglossia Specials'
animeType	b'Special'
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	5.98
animeUsers	611
animeRank	
animePopularity	
animeDescription	b'Specials bundled with the iDOLM@STER Xenoglossia DVD releases.\n\nEpisodes\n#1: Izayoi-ryou e Youkoso!\n#2: Nantettatte Idol!\n#3: Komugiiro no Mermaid\n#4: Watashi ga Obasan ni Natte mo\n#5: Haru nanoni\n#6: Sekaijuu no Dare yori Kitto\n#7: SWEET MEMORIES\n#8: Itoshisa to Setsunasa to Kokoro Tsuyosa to\n#9: Episode 26 epilogue'
animeRelated	[b'iDOLM@STER Xenoglossia']
animeCharacters	[b'Kisaragi, Chihaya', b'Kikuchi, Makoto', b'Amami, Haruka', b'Minase, Iori', b'Takatsuki, Yayoi', b'Miura, Azusa', b'Futami, Mami', b'Akizuki, Ritsuko', b'Futami, Ami', b'Hagiwara, Yukiho']
animeVoices	[]
animeStaff	[]
