animeTitle	b'Gekkan Shoujo Nozaki-kun Specials'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.74
animeUsers	64287
animeRank	
animePopularity	
animeDescription	b'Specials bundled with the Blu-ray/DVDs.'
animeRelated	[b'Gekkan Shoujo Nozaki-kun']
animeCharacters	[b'Mikoshiba, Mikoto', b'Sakura, Chiyo', b'Seo, Yuzuki', b'Nozaki, Umetarou', b'Kashima, Yuu', b'Hori, Masayuki', b'Wakamatsu, Hirotaka', b'Suzuki, Saburou', b'Mamiko']
animeVoices	[b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nOzawa, Ari\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nOno, Yuuki\nJapanese\n', b'\nKimura, Ryouhei\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nMiyake, Marie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nBarr, Katelyn\n\nScript\n\n', b'\nNakamura, Yoshiko\n\nScript\n\n', b'\nTsubaki, Izumi\n\nOriginal Creator, Original Character Design\n\n', b'\nTaniguchi, Junichirou\n\nCharacter Design\n\n']
