animeTitle	Ninja Slayer From Animation
animeType	ONA
animeNumEpisode	26
releaseDate	2015-04-16 00:00:00
endDate	2015-10-08 00:00:00
animeNumMembers	
animeScore	6.59
animeUsers	9227
animeRank	
animePopularity	2815
animeDescription	"Ninja... Ninja were... merciless demi-gods, ruling Japan with their karate in the age of ninja tranquillity. But, ""some"" committed a forbidden form of hara-kiri storing their souls at Kinkaku Temple for future resurrection. Their lost history was falsified and concealed and the truth about these ninja was long forgotten. 

Now, in the future where the universalization of cybernetic technology and electronic networks are God, suddenly, sinister ninja souls, resurrected from thousands of years past are unleashed on the dark shadows of Neo-Saitama. Fujikido Kenji, is a salaryman whose wife and child were killed in a ninja turf war. In a brush with his own death, Fujikido is possessed by an enigmatic ninja soul. Fujikido cheats death and becomes Ninja Slayer. A Grim Reaper destined to kill evil ninja, committed to a personal war of vengeance. 

Set in the dystopian underworld of Neo-Saitama, Ninja Slayer takes on Soukai Syndicate ninjas in mortal combat.

(Source: Animanga wikia)"
animeRelated	['Ninja Slayer Series']
animeCharacters	['Fujikido, Kenji', 'Yamoto, Koki', 'Lee, Nancy', 'Katakura, Fujio', 'Tanaka, Kagi', 'Dragon, Yukano', 'Offender', 'Buster, Tetsuo', 'Nutcracker', 'Daedalos']
animeVoices	['Morikawa, Toshiyuki', 'Amamiya, Sora', 'Saitou, Chiwa', 'Hayami, Show', 'Fujiwara, Keiji', 'Taneda, Risa', 'Egawa, Daisuke', 'Konishi, Katsuyuki', 'Ogami, Shinnosuke', 'Miyashita, Eiji']
animeStaff	[['Amemiya, Akira', 'Director, Episode Director, Storyboard, Assistant Animation Director, Key Animation, Series Composition, Animation Director'], ['Gou, Fumiyuki', 'Sound Director'], ['Ikehata, Hiroshi', 'Episode Director, Storyboard'], ['Miyajima, Yoshihiro', 'Episode Director, Storyboard']]
