animeTitle	Al Caral no Isan
animeType	OVA
animeNumEpisode	1
releaseDate	1993-02-25 00:00:00
endDate	
animeNumMembers	
animeScore	5.41
animeUsers	303
animeRank	
animePopularity	10986
animeDescription	"In the 26th century, humans discover a humanoid race living on the distant world GO/7498/2, a dark-skinned, golden-eyed people who seem to eke out a primitive, carefree existence. However, a scout team from Earth discovers that there is more to them than meets the eye--they live in symbiosis with vicious reptilian parasites, and the Terran scientists have upset the delicate natural balance.

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	['Hummer', 'Shana T', 'Bubble', 'Vee', 'Volg', 'Balk', 'Liz', 'Reagar, Professor', 'R. Hanagi', 'Jim']
animeVoices	['Tanaka, Hideyuki', 'Hisakawa, Aya', 'Morikawa, Toshiyuki', 'Yamada, Eiko', 'Hirose, Masashi', 'Shioya, Kouzou', 'Amano, Yuri', 'Ooyama, Takao', 'Fujimoto, Yuzuru', 'Furuta, Nobuyuki']
animeStaff	[['Watanabe, Jun', 'Sound Director'], ['Masaki, Shinichi', 'Episode Director, Storyboard'], ['Sekijima, Mayori', 'Script'], ['Terahigashi, Katsumi', 'Storyboard']]
