animeTitle	Sora no Manimani Specials
animeType	Special
animeNumEpisode	3
releaseDate	2009-09-02 00:00:00
endDate	2009-12-16 00:00:00
animeNumMembers	
animeScore	6.56
animeUsers	2699
animeRank	
animePopularity	6739
animeDescription	"Extra anime shorts included on DVD.

Episode 1: Summer Memories (Vol. 1)
Episode 2: The Meteor Distance (Vol. 3)
Episode 3: Twinkle Star (Vol. 5)

Note: Music video specials are not included in the entry as they don't contain any new scenes."
animeRelated	['Sora no Manimani']
animeCharacters	['Akeno, Mihoshi', 'Makita, Hime', 'Ooyagi, Saku', 'Edogawa, Masashi', 'Kotozuka, Fumie', 'Yarai, Sayo']
animeVoices	['Itou, Kanae', 'Tomatsu, Haruka', 'Maeno, Tomoaki', 'Takagi, Reiko', 'Koshimizu, Ami', 'Hayami, Saori']
animeStaff	[]
