animeTitle	Cinderella Girls Gekijou: 5 Shuunen Kinen Short Anime
animeType	ONA
animeNumEpisode	1
releaseDate	2016-11-28 00:00:00
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	492
animeRank	
animePopularity	9735
animeDescription	This short commemorates the 5th anniversary of The iDOLM@STER Cinderella Girls game featuring the cast as they will be shown in the Cinderella Girls Gekijou anime coming out in 2017. The girls contemplate half a decade passing and worry about aging and their progress as idols.
animeRelated	['Cinderella Girls Gekijou']
animeCharacters	['Shimamura, Uzuki', 'Katagiri, Sanae', 'Namba, Emi', 'Ueda, Suzuho', 'Abe, Nana', 'Houjou, Karen', 'Satou, Shin', 'Morikubo, Nono', 'Hino, Akane', 'Yorita, Yoshino']
animeVoices	['Ohashi, Ayaka', 'Waki, Azumi', 'Date, Arisa', 'Haruno, Nanami', 'Miyake, Marie', 'Fuchigami, Mai', 'Hanamori, Yumiri', 'Takahashi, Karin', 'Akasaki, Chinatsu', 'Takada, Yuuki']
animeStaff	[['Bandai-Namco', 'Original Creator'], ['Kumajet', 'Original Character Design, Original Creator']]
