animeTitle	Shinigami no Ballad.
animeType	TV
animeNumEpisode	6
releaseDate	2006-03-03 00:00:00
endDate	2006-04-07 00:00:00
animeNumMembers	43147
animeScore	6.91
animeUsers	17556
animeRank	4141
animePopularity	2690
animeDescription	"A girl wrapped in white, her name is Momo...in her hand lies a blunt yet shiny scythe. By her side is a winged black cat by the name of Daniel. Carrying the souls of humans, the girl's existence parallels to that of a ""Death God"" or ""Shinigami"". At the instant when this white Death God touches the hearts of humans, the world is filled with kindness and grief... 

(Source: ANN) "
animeRelated	['Shinigami no Ballad.']
animeCharacters	['Momo', 'Daniel', 'Asano, Mitsuki', 'Ichihara, Kantarou', 'Makihara, Mai', 'Nakayama', 'Nodo, Kouta', 'Asano, Subaru']
animeVoices	['Kobayashi, Akiko', 'Shimizu, Ai', 'Kaida, Yuki', 'Toyonaga, Toshiyuki', 'Saitou, Chiwa', 'Yaguchi, Asami', 'Kanada, Aki', 'Kimura, Akiko']
animeStaff	[['Mochizuki, Tomomi', 'Director, Sound Director, Episode Director, Storyboard'], ['Yoshida, Reiko', 'Script, Series Composition'], ['MOKA☆', 'Music'], ['Imaizumi, Kenichi', 'Animation Director, Key Animation']]
