animeTitle	Neko Enikki
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14276
animeDescription	"The autobiographical manga utilizes both drawings and photos of cats to chronicle the life of a woman who lives by herself in order to live with her cats. She is described as a ""himono-onna,"" a Japanese slang word that means ""a woman who is proper in public but lazy at home.""

(Source: ANN)"
animeRelated	['Neko Enikki']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
