animeTitle	b'Stringendo+Accelerando Ultimatum Sera'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	5353
animeRank	
animePopularity	
animeDescription	b'School is a place for learning and gaining knowledge for the sake of the future but very few know of what happens between couples/students behind the scenes which could be considered learning but in a more intimate way.\n\n(Source: ANN)'
animeRelated	[b'Accelerando: Datenshi-tachi no Sasayaki', b'Stringendo: Angel-tachi no Private Lesson']
animeCharacters	[b'Mizuho', b'Kirishima', b'Mikura', b'Tsuchiya', b'Kotoha']
animeVoices	[b'\nHagiwara, Emiko\nJapanese\n', b'\nSakuma, Kumi\nJapanese\n', b'\nRikimaru, Noriko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAraki, Hideki\n\nDirector, Storyboard, Animation Director, Character Design\n\n', b'\nSawayama, Shinichiro\n\nScript, Screenplay\n\n', b'\nSeto, Yuuki\n\nOriginal Creator\n\n']
