animeTitle	Dennou Sentai Voogie's★Angel
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.46
animeUsers	761
animeRank	
animePopularity	9040
animeDescription	"A hundred years after Earth is invaded by aliens, the last remnants of the human race dwell in underwater ""Aqua Bases."" A team of five cybernetically enhanced women is trained for the purpose of carrying out guerilla attacks against the occupying forces. Earth's last hope for salvation is...Voogie's Angels.

(Source: ANN)"
animeRelated	"[""Dennou Sentai Voogie's★Angel: Forever and Ever"", ""Dennou Sentai Voogie's★Angel Gaiden: Susume! Super★Angels!""]"
animeCharacters	['Shiori', 'Merrybell', 'Rebecca', 'Midi', 'Voogie', 'The Boy, Teddy', 'Ash', 'Burst, Jay', 'Myer', 'Cougar, Leon']
animeVoices	['Inoue, Kikuko', 'Kikuchi, Shiho', 'Mitsuishi, Kotono', 'Tange, Sakura', 'Hisakawa, Aya', 'Touma, Yumi', 'Ishida, Akira', 'Morikawa, Toshiyuki', 'Hiyama, Nobuyuki', 'Shiozawa, Kaneto']
animeStaff	[['Oobari, Masami', 'Co-Director, Director, Storyboard, Character Design'], ['Ootsuka, Masahiko', 'Episode Director'], ['Kaneko, Shuuichi', 'Episode Director, Storyboard'], ['Tange, Sakura', 'Theme Song Performance']]
