animeTitle	Shokichi Monogatari
animeType	Music
animeNumEpisode	1
releaseDate	2009-11-11 00:00:00
endDate	
animeNumMembers	297
animeScore	5.54
animeUsers	146
animeRank	10264
animePopularity	14598
animeDescription	A music video created by married artist unit Uruma Delvi about a stray dog named Shokichi.
animeRelated	[]
animeCharacters	['Shokichi']
animeVoices	[]
animeStaff	[['UrumaDelvi', 'Director']]
