animeTitle	b'Bikini Warriors Special'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.37
animeUsers	7661
animeRank	
animePopularity	
animeDescription	b'According to the official Hobby Japan website, an unaired episode of Bikini Warriors will be bundled with the Blu-ray volume to be released on December 9th, 2015. \n\n(Source: Hobby Japan)'
animeRelated	[b'Bikini Warriors', b'Bikini Warriors OVA']
animeCharacters	[b'Mage', b'Paladin', b'Fighter', b'Dark Elf']
animeVoices	[b'\nKakuma, Ai\nJapanese\n', b'\nUeda, Kana\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nTakahashi, Chiaki\nJapanese\n']
animeStaff	[]
