animeTitle	Circus
animeType	Music
animeNumEpisode	1
releaseDate	2018-02-28 00:00:00
endDate	
animeNumMembers	270
animeScore	5.31
animeUsers	148
animeRank	10889
animePopularity	14994
animeDescription	A concept movie music video for Super Junior-D&E's single Circus. While the boy band duo is South Korean, the music video was created in Japan for the Japanese release of the single under the Avex Trax record label.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
