animeTitle	b'Kakuriyo no Yadomeshi'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.51
animeUsers	41645
animeRank	
animePopularity	
animeDescription	"b'Abandoned as a child by her mother, Aoi Tsubaki has always had the ability to see ""ayakashi""\xe2\x80\x94spirits from the Hidden Realm. Shirou Tsubaki, her grandfather who shared the same ability, took her under his wing and taught her how to live with the ayakashi in peace. When her grandfather abruptly passes away, the independent Aoi must continue her college career, armed with only her knowledge in cooking as a means of protection against the human-eating spirits. In hopes that the ayakashi will not turn to her or other unknowing humans as a tasty meal, she takes it upon herself to feed the hungry creatures that cross her path.\n\nAfter giving a mysterious ayakashi her lunch, Aoi is transported to the Hidden Realm, where the ayakashi reveals himself to be an ogre-god known as Oodanna, the ""Master Innkeeper."" There, she learns that she was used as collateral for her grandfather\'s debt of one hundred million yen, and that she must pay the price for her grandfather\'s careless decision by marrying Oodanna. Aoi valiantly refuses and decides to settle things on her own terms: she will pay off the debt herself by opening an eatery at Oodanna\'s inn.\n\nKakuriyo no Yadomeshi follows the journey of Aoi as she proceeds to change and touch the lives of the ayakashi through the one weapon she has against them\xe2\x80\x94her delicious cooking.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Kakuriyo no Yadomeshi: Ayakashi Oyado ni Yomeiri shimasu.', b'Kakuriyo no Yadomeshi: Ayakashi Oyado ni Yomeiri shimasu']
animeCharacters	[b'Oodanna', b'Ginji', b'Tsubaki, Aoi', b'Chibi', b'Akatsuki', b'Ranmaru', b'Byakuya', b'Shizuna', b'Hatori', b'Suzuran']
animeVoices	[b'\nKonishi, Katsuyuki\nJapanese\n', b'\nToki, Shunichi\nJapanese\n', b'\nTouyama, Nao\nJapanese\n', b'\nIwami, Manaka\nJapanese\n', b'\nUchida, Yuuma\nJapanese\n', b'\nIshikawa, Kaito\nJapanese\n', b'\nTamaru, Atsushi\nJapanese\n', b'\nUeda, Reina\nJapanese\n', b'\nTerashima, Takuma\nJapanese\n', b'\nUchida, Maaya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOkuda, Yoshiko\n\nDirector\n\n', b'\nGou, Fumiyuki\n\nSound Director\n\n', b'\nYamauchi, Shigeyasu\n\nEpisode Director, Storyboard\n\n', b'\nKimura, Nobukage\n\nEpisode Director\n\n']
