animeTitle	Shinya! Tensai Bakabon Specials
animeType	Special
animeNumEpisode	12
releaseDate	2018-09-28 00:00:00
endDate	2018-11-30 00:00:00
animeNumMembers	329
animeScore	
animeUsers	
animeRank	13290
animePopularity	14295
animeDescription	Included with the Blu-ray and DVD release of Shinya! Tensai Bakabon. 
animeRelated	['Shinya! Tensai Bakabon']
animeCharacters	['Bakabon no Papa', 'Hajime-chan', 'Bakabon', 'Bakabon no Mama', 'Rerere no Ojisan', 'Unagi-Inu', 'Omawari-san']
animeVoices	[]
animeStaff	[['Suehiro, Kenichiro', 'Music'], ['Akatsuka, Fujio', 'Original Creator']]
