animeTitle	Chou Kidougai-ku: Kashiwa-no-Ha
animeType	ONA
animeNumEpisode	1
releaseDate	2015-09-30 00:00:00
endDate	
animeNumMembers	897
animeScore	5.22
animeUsers	220
animeRank	11076
animePopularity	11400
animeDescription	"ーThe day the city had moved, our future began to move.ー
The year is 2018. Kashiwa City, Chiba Prefecture, Kashiwanoha Smart City. A family had come to the model room tour of the tower apartment in ""Park City Kashiwanoha Campus The Gate Tower"". With excellent facilities the family begins a new life in this city based on the environment. However, suddenly the after leaving, the ground shakes violently and a giant robot appears from where their tower apartment once stood. Or rather, their tower apartment has become a giant robot. The family is stunned. What the heck is happening in this town? What secret is hidden in this town?

(Source: Official YouTube channel, edited)"
animeRelated	[]
animeCharacters	['Mari', 'Eita', 'Yuuko', 'Takashi', 'Child ']
animeVoices	['Kokido, Shiho', 'Sakamoto, Maaya', 'Nakamura, Yuuichi', 'Nakamura, Chie']
animeStaff	[['Morita, Shuuhei', 'Director'], ['Satou, Dai', 'Script'], ['Nakamura, Hideki', 'Art Director'], ['Sajiki, Daisuke', 'Character Design']]
