animeTitle	Dededen
animeType	Special
animeNumEpisode	5
releaseDate	2015-02-23 00:00:00
endDate	2015-12-14 00:00:00
animeNumMembers	472
animeScore	5.83
animeUsers	209
animeRank	9271
animePopularity	13113
animeDescription	"The studio TMS Entertainment collaborated with Seibu Railways on the new original anime Dededen. The anime celebrates both the 50th anniversary of TMS Entertainment and the 100th anniversary of Seibu Railways. TMS Entertainment happens to be located near the Araiyakushimae Station on the Seibu Shinjuku Line.

The anime followed the daily life of the main lead Amoru Tokorozawa and the railway. TMS plans to make five episodes, each 75 seconds long. It is running on the train's onboard SmileVision screens, as well as on the Smile StationVision screens around major stations from February 23 to December 31.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
