animeTitle	b'Crayon Shin-chan'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	7.72
animeUsers	32603
animeRank	
animePopularity	
animeDescription	"b'There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon.\n\nCrayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can\'t help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics\xe2\x80\x94leaving himself as the only problem they do not know what to do with.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Crayon Shin-chan', b'Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!', b'Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu', b'Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen', b'Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou', b'Crayon Shin-chan Manatsu no Yoru ni Ora Sanjou! Arashi wo Yobu Den-O vs. Shin-O 60-bu Special!!', b'Crayon Shin-chan Movie 03: Unkokusai no Yabou', b'Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki', b'Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou', b'Crayon Shin-chan Movie 04: Henderland no Daibouken', b'Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen', b'Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen', b'Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle', b'Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road', b'Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys', b'Crayon Shin-chan Movie 13: Densetsu wo Yobu Buriburi 3 Pun Dai Shingeki', b'Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!', b'Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha', b'Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku', b'Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome', b'Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen', b'Crayon Shin-chan Movie 20: Arashi wo Yobu! Ora to Uchuu no Princess', b'Crayon Shin-chan Movie 21: Bakauma! B-Kyuu Gourmet Survival Battle!!', b'Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan', b'Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daisuugeki', b'Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki', b'Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchuujin Shiriri', b'Doraemon (2005) Specials', b'Crayon Shin-chan Movie 26: Bakumori! Kung Fu Boys - Ramen Tairan', b'Crayon Shin-chan Movie 27: Shinkon Ryokou Hurricane - Ushinawareta Hiroshi', b'Crayon Shin-chan Movie 28: Gekitotsu! Rakuga Kingdom to Hobo Yonin no Yuusha', b'Crayon Shin-chan Movie 29: Mystery Meki! Hana no Tenkasu Gakuen', b'Shin-Men', b'Kamen Rider Fourze x Crayon Shin-chan', b'Crayon Shin-chan Gaiden: Alien vs. Shinnosuke', b'Crayon Shin-chan Gaiden: Omocha Wars', b'Crayon Shin-chan Gaiden: Kazokuzure Ookami', b'Crayon Shin-chan Gaiden: O-o-o no Shinnosuke', b'Super Shiro']
animeCharacters	[b'Nohara, Shinnosuke', b'Nohara, Hiroshi', b'Nohara, Misae', b'Nohara, Himawari', b'Buriburizaemon', b'Shiro', b'Boo-chan', b'Gou, Goutarou', b'Kazama, Tooru', b'Matsuzaka, Ume']
animeVoices	[b'\nYajima, Akiko\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n', b'\nNarahashi, Miki\nJapanese\n', b'\nKoorogi, Satomi\nJapanese\n', b'\nShiozawa, Kaneto\nJapanese\n', b'\nMashiba, Mari\nJapanese\n', b'\nSatou, Chie\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nTomizawa, Michie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nCook, Justin\n\nProducer\n\n', b'\nHara, Keiichi\n\nDirector\n\n', b'\nHongou, Mitsuru\n\nDirector, Episode Director, Storyboard, Theme Song Lyrics\n\n', b'\nMutou, Yuuji\n\nDirector, Episode Director, Script, Storyboard\n\n']
