animeTitle	b'Kaitou Tenshi Twin Angel'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	1849
animeRank	
animePopularity	
animeDescription	b'Haruka Minazuki and Aoi Kannazuki are freshman high school students and best friends. During the day they help with school activities but at night they thwart enemies like Black Auction and other villains as Red Angel and Blue Angel, the Twin Angel team. '
animeRelated	[b'Kaitou Tenshi Twin Angel: Kyun Kyun\xe2\x98\x86Tokimeki Paradise!!', b'Kaitou Tenshi Twin Angel: Kyun Kyun\xe2\x98\x86Tokimeki Paradise!! OVA', b'Twin Angel Break']
animeCharacters	[b'Minazuki, Haruka', b'Kannazuki, Aoi', b'of the Fourth Dimension, Baron', b'Saijou, Joshi', b'Tomochi, Nyan', b'Kannazuki, Misae', b'Kannazuki, Sakie', b'Kondou, Satsuki', b'Kisaragi, Yuito', b'Shinmon, Yayoi']
animeVoices	[b'\nTamura, Yukari\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nOgawa, Shinji\nJapanese\n', b'\nAsakawa, Yuu\nJapanese\n', b'\nAsano, Masumi\nJapanese\n', b'\nIchijou, Miyuki\nJapanese\n', b'\nSatou, Ai\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nMinegishi, Yukari\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatomi, Tetsurou\n\nProducer\n\n', b'\nNagai, Tatsuyuki\n\nDirector, Storyboard\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nIkehata, Takashi\n\nEpisode Director\n\n']
