animeTitle	b'Kaitei Sanman Mile'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.84
animeUsers	211
animeRank	
animePopularity	
animeDescription	b'Returning home from an ocean trip, young Isamu meets the beautiful sea-dweller Angel on a volcanic island. Attacked by a fiery dragon, Isamu and Angel escape on the observation boat See Through, and Angel invites Isamu to see her undersea kingdom of Atlas.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	"[b'Isamu', b'Chitei Ou', b""Isamu's Mother"", b'Octopus']"
animeVoices	[b'\nNozawa, Masako\nJapanese\n', b'\nNaya, Gorou\nJapanese\n', b'\nSenou, Reiko\nJapanese\n', b'\nUmino, Katsuo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOkuyama, Reiko\n\nAnimation Director\n\n', b'\nKita, Masatake\n\nAnimation Director\n\n']
