animeTitle	Suisou no Tora
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	374
animeScore	
animeUsers	
animeRank	
animePopularity	13900
animeDescription	"Something/someone is there. This fact seeks a cornerstone of the reality of a personal experience. For this reason each individual's reality has a disparity that seems like it has been pre-programmed.

(Source: Shinomiya Yoshitoshi's personal website)

A tiger is jumping around in a dark basin of water, seemingly trying to catch a bird, of which there are many."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
