animeTitle	Kansen 2: Inzai Toshi
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	1922
animeRank	
animePopularity	6756
animeDescription	"Kansen 2 (like the first episode) takes place during the initial outbreak of the Unknown virus epidemic, but the protagonists here have a much harder lot because they are stuck in the middle of a contaminated city immediately after its destruction by a mysterious cataclysm.

Stalked by hordes of infected maniacs, Hiroshi Ookura and his friends seek safety inside a mostly intact shopping mall, but madness and death are everywhere...

(Source: VNDB)"
animeRelated	['Kansen: Inyoku no Rensa', 'Kansen 3: Shuto Houkai']
animeCharacters	['Nagasaki, Chihiro', 'Anzai, Miki', 'Okura, Hiroshi', 'Hayami, Alice', 'Kobayashi, Yuuki', 'Mizaho', 'Satsue']
animeVoices	['Haduki, Rie', 'Kasuga, An', 'Kajita, Yuuki']
animeStaff	[['Yamamoto, Toshiyuki', 'Producer'], ['Yokoyama, Hiromi', 'Director'], ['Kinohara, Hikaru', 'Character Design'], ['Lee, Si-Min', 'Animation Director']]
