animeTitle	Hakugei Densetsu
animeType	TV
animeNumEpisode	26
releaseDate	1997-04-09 00:00:00
endDate	1999-05-12 00:00:00
animeNumMembers	3617
animeScore	6.64
animeUsers	774
animeRank	5377
animePopularity	7898
animeDescription	A courageous young man tries to find the only person who can save his planet from the most terrifying beast in the universe—the great white whale Moby Dick—in this futuristic anime adventure set in 4699. But locating the outlaw Captain Ahab and his illusory crew of whale hunters and persuading them to put an end to the leviathan's long reign of terror won't be easy. Will Ahab take up the challenge one more time? 
animeRelated	[]
animeCharacters	['Ishmail Ali, Ahab', 'Tokisada, Sachiko', 'Due', 'Speed King', 'Academias', 'Cook', 'Christiansen, Doc', 'Atre', 'Barba', 'Koba, Garcia']
animeVoices	['Ootsuka, Akio', 'Mizutani, Yuuko', 'Seki, Toshihiko', 'Uchida, Naoya', 'Suzuki, Takuma', 'Houki, Katsuhisa', 'Sonobe, Keiichi', 'Niiyama, Shiho', 'Ootomo, Ryuuzaburou', 'Kobayashi, Kiyoshi']
animeStaff	[['Dezaki, Osamu', 'Director, Script, Storyboard, Original Creator'], ['Ueda, Kouji', 'Episode Director'], ['Kudo, Eiko', 'Theme Song Performance'], ['Sugino, Akio', 'Original Creator, Animation Director']]
