animeTitle	Dr. Typhoon
animeType	OVA
animeNumEpisode	1
releaseDate	1991-04-03 00:00:00
endDate	
animeNumMembers	297
animeScore	
animeUsers	
animeRank	15493
animePopularity	14611
animeDescription	Based on a seinen manga written by Takahashi Michitsuna and illustrated by Kazama Eiji, serialised in Weekly Manga Action.
animeRelated	[]
animeCharacters	['Izumi, Typhoon']
animeVoices	[]
animeStaff	[['Nishimura, Junji', 'Director, Storyboard'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Sogo, Masashi', 'Script, Screenplay'], ['Motohashi, Hideyuki', 'Character Design, Animation Director']]
