animeTitle	Wakako-zake
animeType	TV
animeNumEpisode	12
releaseDate	2015-07-05 00:00:00
endDate	2015-09-20 00:00:00
animeNumMembers	35834
animeScore	6.64
animeUsers	18597
animeRank	5410
animePopularity	2995
animeDescription	"Murasaki Wakako, who is 26 years old, loves going out alone to enjoy eating and drinking, especially when something unpleasant happens at work. This anime follows Wakako through many solitary outings, where she enjoys different combinations of food and drink!

(Source: MangaHelpers, edited)"
animeRelated	['Wakako-zake']
animeCharacters	['Murasaki, Wakako', 'Murasaki, Mother']
animeVoices	['Sawashiro, Miyuki', 'Nabei, Makiko']
animeStaff	[['Yamaoka, Minoru', 'Director'], ['Ueno, Yuuka', 'Theme Song Performance'], ['Nobori, Haruko', 'Color Design'], ['Itakura, Ayumi', 'Director of Photography']]
