animeTitle	Rui no Masaiban
animeType	ONA
animeNumEpisode	1
releaseDate	2012-02-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.03
animeUsers	179
animeRank	
animePopularity	13158
animeDescription	"The animated promotional video for the drama CD Rui no Masaiban (Rui's Magical Trials). The original dark fantasy story revolves around Rui, the youngest ever magical judge who weighs the fate of demons.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
