animeTitle	Sono Toki, Kanojo wa.
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.66
animeUsers	2988
animeRank	
animePopularity	4657
animeDescription	"The anime takes place in Fukuoka and follows the love lives of four female protagonists as high school students, college students, and as working adults. 

(Source: ANN, edited)"
animeRelated	[]
animeCharacters	['Aiko', 'Yukari', 'Miwako', 'Moe', 'Tecchan', 'Kousuke', 'Tomonori', 'Yuuta']
animeVoices	['Fukuda, Mei', 'Takada, Riho', 'Uchida, Maaya', 'Nao', 'Tonari no Sakata.', 'Aramaki, Yoshihiko', 'Takano, Akira', 'Urata, Wataru']
animeStaff	[['Banba, Susumu', 'Director'], ['Natsuo, Saeri', 'Script'], ['Takeuchi, Mariya', 'Theme Song Lyrics, Theme Song Composition'], ['Fukuda, Mei', 'Theme Song Performance']]
