animeTitle	Shouwa Monogatari (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	2011-01-29 00:00:00
endDate	
animeNumMembers	
animeScore	6.44
animeUsers	428
animeRank	
animePopularity	10231
animeDescription	Dramatic story of the Yamazaki family during the year Showa 39 (1964), the year that Tokyo hosted the Summer Olympics.
animeRelated	['Shouwa Monogatari']
animeCharacters	['Sawatari, Yuusuke']
animeVoices	[]
animeStaff	[['Takeuchi, Hiroaki', 'Producer'], ['Honda, Yasunori', 'Sound Director'], ['Maruo, Miho', 'Script'], ['Hirano, Yasushi', 'Screenplay']]
