animeTitle	b'Grey: Digital Target'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.12
animeUsers	924
animeRank	
animePopularity	
animeDescription	"b""Grey is a laconic trooper in a rough, futuristic military system which rewards success in battle with high pay and promotions, but only three precent of troopers live long enough for the final goal - citizenship and the chance for a life above the misery of most of the populace. Grey has managed to keep coming back alive, even earning the nickname Grey Death. But is the society he's fought for worth it?\n\n(Source: ANN)"""
animeRelated	[b'Grey']
animeCharacters	[b'Grey', b'Dimitri, Robert J.', b'Komon, Rope', b'Red', b'Nova']
animeVoices	[b'\nInoue, Kazuhiko\nJapanese\n', b'\nChiba, Kouichi\nJapanese\n', b'\nSasaoka, Shigezou\nJapanese\n', b'\nKobayashi, Kiyoshi\nJapanese\n', b'\nOkamoto, Maya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDezaki, Satoshi\n\nDirector\n\n', b'\nShimizu, Katsunori\n\nSound Director\n\n', b'\nTominaga, Tsuneo\n\nEpisode Director\n\n', b'\nShimizu, Keizou\n\nEpisode Director\n\n']
