animeTitle	b'Son Gokuu no Hi no Youjin'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'An educational ""don\'t play with fire"" safety video for kids featuring characters from the classic Saiyuuki folktale.'"
animeRelated	[b'Saiyuuki: Son Gokuu Monogatari', b'Tezuka Osamu Monogatari: Boku wa Son Gokuu', b'Boku no Son Gokuu', b'Son Gokuu Silk Road wo Tobu!!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
