animeTitle	Koihime
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.57
animeUsers	1829
animeRank	
animePopularity	7188
animeDescription	"When Musashi returns to his childhood home, he rekindles friendships with four beautiful young women from his youth that he'd totally forgotten about. Hidden desires give way to supernatural secrets, though, as Musashi discovers that the village he remembers hides a terrible secret that he never even imagined. Can love really conquer all? 

(Source: AniDB)"
animeRelated	['Zoku Koihime']
animeCharacters	['Sasaki, Musashi', 'Nami', 'Suzaku', 'Mayuki', 'Anzu', 'Namiki', 'Shizuhi', 'Tengu', 'Sasaki, Grandmother', 'Dragon King']
animeVoices	[]
animeStaff	[['Oomiya, Saburou', 'Producer'], ['Masaki, Shinichi', 'Director'], ['Saitou, Miwako', 'Theme Song Lyrics'], ['Yoshioka, Takao', 'Screenplay']]
