animeTitle	Sore Ike! Anpanman: Tobe! Tobe! Chibigon
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14600
animeDescription	3rd Anpanman short movie.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Currypanman', 'Cheese', 'Dokin-chan', 'Horrorman', 'Shokupanman', 'Oji-san, Jam', 'Chibigon', 'Batako-san']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yanagisawa, Michiyo', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Kimotsuki, Kaneta', 'Shimamoto, Sumi', 'Masuoka, Hiroshi', 'Takayama, Minami', 'Sakuma, Rei']
animeStaff	[['Nagaoka, Akinori', 'Director'], ['Yanase, Takashi', 'Theme Song Lyrics, Original Creator'], ['Ootani, Kazuo', 'Theme Song Arrangement'], ['Maeda, Minoru', 'Animation Director']]
