animeTitle	RG Veda
animeType	OVA
animeNumEpisode	2
releaseDate	1991-06-01 00:00:00
endDate	1992-06-21 00:00:00
animeNumMembers	
animeScore	6.12
animeUsers	3149
animeRank	
animePopularity	5958
animeDescription	"The fearsome warrior Taishaku-ten rebelled against the world-ruling gods three hundred years ago and began his own oppressive reign. His dominion remained unchecked for years—until one day, the blind prophet Kuyou prophesied that warriors known as the Six Stars and a child of the vanished race called Ashura would defeat Taishaku-ten. 

Ashura, marked by his pointed ears and golden eyes; Yasha-ou, a robust warrior; and four other Stars prepare to challenge Taishaku-ten. In order to do so, they must journey across tarnished landscapes and battle monstrous demons that have plagued the land. But as the wheels of fate turn, Ashura and Yasha-ou must find the sixth Star before it is too late. 

[Written by MAL Rewrite]"
animeRelated	['RG Veda']
animeCharacters	['Ashura', 'Yasha-ou', 'Karura-Ou', 'Ryuu-ou', 'Kendappa-Ou', 'Ashura-ou', 'Kujaku', 'Taishaku-ten', 'Souma', 'Kara']
animeVoices	['Ikura, Kazue', 'Hayami, Show', 'Sakakibara, Yoshiko', 'Yamaguchi, Kappei', 'Andou, Arisa', 'Tanaka, Hideyuki', 'Matsumoto, Yasunori', 'Wakamoto, Norio', 'Yamamoto, Yuriko']
animeStaff	[['Ebata, Hiroyuki', 'Director'], ['Ohkawa, Nanase', 'Script'], ['CLAMP', 'Original Creator'], ['Yoshimoto, Takuji', 'Key Animation']]
