animeTitle	Anne no Nikki
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.8
animeUsers	2068
animeRank	
animePopularity	6160
animeDescription	"Amsterdam, June 12, 1942. Anne celebrates her 13th birthday and begins her diary, which she calls ""Kitty"". Hiding for two years from the German threat, the young girl writes about her idealistic views on the world, her ambitions, her fears and her first love, Peter."
animeRelated	['Anne no Nikki: Anne Frank Monogatari']
animeCharacters	['Frank, Anne', 'Frank, Otto', 'Frank, Margot']
animeVoices	['Takahashi, Reina', 'Katou, Gou', 'Tano, Seiko']
animeStaff	[['Shinohara, Toshiya', 'Co-Director'], ['Nagaoka, Akinori', 'Director'], ['Nakanishi, Ryuuzou', 'Script'], ['Asaka, Morio', 'Storyboard']]
