animeTitle	Million Doll
animeType	TV
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	4.8
animeUsers	3965
animeRank	
animePopularity	5159
animeDescription	"Million Doll revolves around Suuko, an idol-loving hikikomori (shut-in) who has one ability: To make any idol popular through the power of blogging. She puts her sights on the Fukuoka idol Itorio and tries to make her sell more, but she is impeded by the charismatic idol Ryuu-san and the underground idol Mariko.

(Source: ANN)"
animeRelated	['Million Doll', 'Million Doll: Otaku Go Kouza']
animeCharacters	['Mariko', 'Momona', 'Ryuu-san', 'Yurino', 'Rina', 'Suuko', 'Kamakura, Hinami', 'Kaede', 'Kuu-nyan']
animeVoices	['Itou, Miku', 'Watanabe, Yui', 'Umehara, Yuuichirou', 'Matsui, Eriko', 'Iizuka, Mayu', 'Kusuda, Aina', 'Uchida, Aya', 'Kabayama, Minami', 'Arakawa, Natsuki']
animeStaff	[['Kawaguchi, Keiichirou', 'Director'], ['Murakami, Momoko', 'Script'], ['Tashiro, Tomokazu', 'Theme Song Composition'], ['Yamane, Masahiro', 'Character Design']]
