animeTitle	Sougen no Ko Tenguri
animeType	Movie
animeNumEpisode	1
releaseDate	1977-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.09
animeUsers	437
animeRank	
animePopularity	11229
animeDescription	"The story surrounds a boy and a cow who have always lived their lives together. One winter, a famine strikes their village. The villagers resolve to the cow, but the boy secretly helped the cow escape. A few years ago, the boy (now grown-up) and the cow meet again...

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Taru-Taru', 'Tenguri']
animeVoices	[]
animeStaff	[['Ootsuka, Yasuo', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Miyazaki, Hayao', 'Layout'], ['Mamiya, Michio', 'Music']]
