animeTitle	School Rumble Ni Gakki
animeType	TV
animeNumEpisode	26
releaseDate	2006-04-03 00:00:00
endDate	2006-09-25 00:00:00
animeNumMembers	
animeScore	8.01
animeUsers	82466
animeRank	
animePopularity	1221
animeDescription	"Continuing right where season 1 left off: Harima still likes Tenma but still runs into obstacles everytime he tries to confess his love to her. To complicate the situation, Class 2-D challenges class 2-C once again and there's a rumor floating around that Harima and Yakumo are dating as the school prepares for the cultural festival.

(Source: ANN)"
animeRelated	['School Rumble', 'School Rumble: Ichi Gakki Hoshuu', 'School Rumble San Gakki']
animeCharacters	['Harima, Kenji', 'Sawachika, Eri', 'Tsukamoto, Yakumo', 'Tsukamoto, Tenma', 'Takano, Akira', 'Suou, Mikoto', 'Karasuma, Ouji', 'Imadori, Kyousuke', 'Hanai, Haruki', 'Ichijou, Karen']
animeVoices	['Takahashi, Hiroki', 'Horie, Yui', 'Noto, Mamiko', 'Koshimizu, Ami', 'Shimizu, Kaori', 'Nabatame, Hitomi', 'Konishi, Ryousei', 'Kishio, Daisuke', 'Kawada, Shinji', 'Mako']
animeStaff	[['Cook, Justin', 'Producer'], ['Kanasaki, Takaomi', 'Director, Storyboard'], ['Tanaka, Kazuya', 'Sound Director'], ['Takamatsu, Shinji', 'Episode Director, Storyboard']]
