animeTitle	Fullmetal Alchemist: Reflections
animeType	Special
animeNumEpisode	1
releaseDate	2005-03-19 00:00:00
endDate	
animeNumMembers	
animeScore	7.27
animeUsers	15463
animeRank	
animePopularity	2810
animeDescription	A reflection on what happened during the FMA TV series.
animeRelated	['Fullmetal Alchemist']
animeCharacters	['Elric, Edward', 'Elric, Alphonse', 'Mustang, Roy', 'Hughes, Maes', 'Greed', 'Hawkeye, Riza', 'Armstrong, Alex Louis', 'Rockbell, Winry', 'Envy', 'Hohenheim, Van']
animeVoices	['Park, Romi', 'Kugimiya, Rie', 'Ookawa, Tooru', 'Fujiwara, Keiji', 'Suwabe, Junichi', 'Neya, Michiko', 'Utsumi, Kenji', 'Toyoguchi, Megumi', 'Yamaguchi, Mayumi']
animeStaff	[['Mizushima, Seiji', 'Director'], ['Arakawa, Hiromu', 'Original Creator'], ['Asian Kung-Fu Generation', 'Inserted Song Performance'], ['Oshima, Michiru', 'Music']]
