animeTitle	Baymax
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	844
animeRank	
animePopularity	10201
animeDescription	"The adventure story revolves around Hiro, a 14-year-old boy who lost his dear brother Tadashi in a mysterious accident, and Baymax, a personal healthcare companion robot developed by Tadashi. The story is set in San Fransokyo, a fictional city that combines the imagery of San Francisco and Tokyo.

(Source: ANN)"
animeRelated	['Baymax']
animeCharacters	['Hamada, Tadashi', 'Baymax', 'Hamada, Hiro']
animeVoices	[]
animeStaff	[['Tekken', 'Director'], ['Koyama, Shigeto', 'Original Character Design']]
