animeTitle	Demashita! Powerpuff Girls Z
animeType	TV
animeNumEpisode	52
releaseDate	2006-07-01 00:00:00
endDate	2007-06-30 00:00:00
animeNumMembers	
animeScore	6.38
animeUsers	10595
animeRank	
animePopularity	3350
animeDescription	"Based on the American cartoon, ""The Powerpuff Girls."" 

Professor Utonium and his son Ken are studying the strange Chemical X. When a mochi cake falls into the formula, it changes into Chemical Z. Ken fires a ray of Chemical Z at a glacier in Tokyo Bay, however that causes strange black and white lights to scatter. The black lights turn its victims into monsters, with emphasis on a black light hitting a zoo monkey and transforming him into Mojo Jojo.

The white lights, however, aim at three normal girls, Momoko, Miyako, and Kaoru. This gives them the power to transform into superheroes, the Powerpuff Girls Z! "
animeRelated	['Demashita! Powerpuff Girls Z']
animeCharacters	['Matsubara, Kaoru', 'Akatsutsumi, Momoko', 'Gotokuji, Miyako', 'Mojo Jojo', 'Butch', 'Brick', 'Boomer', 'Kare', 'Shirogane, Himeko', 'Ooedo Chakichaki Musume']
animeVoices	['Kawana, Machiko', 'Katou, Emiri', 'Miyahara, Nami', 'Ebara, Masashi', 'Tamaki, Yuuki', 'Kiuchi, Reiko', 'Aoyama, Touko', 'Nakao, Ryusei', 'Ikeda, Chigusa']
animeStaff	[['Seki, Hiromi', 'Producer'], ['Ishiguro, Megumu', 'Director, Storyboard, Key Animation'], ['Iwai, Takao', 'Episode Director'], ['Shimoyama, Kento', 'Script']]
