animeTitle	Mizuiro Jidai
animeType	TV
animeNumEpisode	47
releaseDate	1996-04-04 00:00:00
endDate	1997-02-27 00:00:00
animeNumMembers	3764
animeScore	6.94
animeUsers	770
animeRank	4027
animePopularity	7792
animeDescription	"Yuuko is a shy middle school girl who has feelings for her childhood friend, the boy next door. When she finds out that her best friend also likes him, she is unsure what to do. The story explores the relationships between these three characters as they confront everyday junior high problems.

(Source: ANN)"
animeRelated	['Mizuiro Jidai']
animeCharacters	['Kawai, Yuuko', 'Takahata, Takako', 'Naganumo, Hiroshi', 'Kawai, Yasuo', 'Kawai, Toshiko', 'Katakura, Ryouko', 'Hirayama, Rumiko', 'Daitabashi-sensei']
animeVoices	['Suzuki, Masami', 'Higuchi, Chieko', 'Akiyama, Jun', 'Nakao, Yuki', 'Namiki, Noriko', 'Matsuura, Yukiko', 'Akado, Mayumi']
animeStaff	[['Tokita, Hiroko', 'Director'], ['Ishiodori, Hiroshi', 'Episode Director, Storyboard'], ['Kuzuya, Naoyuki', 'Episode Director, Storyboard'], ['Kuwahara, Satoshi', 'Episode Director, Storyboard']]
