animeTitle	b'Oyako Club'
animeType	b'TV'
animeNumEpisode	1818
releaseDate	
endDate	
animeNumMembers	
animeScore	5.45
animeUsers	318
animeRank	
animePopularity	
animeDescription	b'This anime was running almost 20 years and has over 1800 episodes.'
animeRelated	[]
animeCharacters	[b'Obaa-chan']
animeVoices	[b'\nHisamatsu, Yuuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKubota, Shouzou\n\nKey Animation, In-Between Animation\n\n', b'\nWakabayashi, Tadao\n\nKey Animation, Animation Director, Character Design\n\n']
